大类别,实验范式,核心目的,主要测量参数,分析方式
学习与记忆类,莫里斯水迷宫,测试空间学习与参考记忆,逃避潜伏期、路径长度、目标象限停留时间/路径比、平台穿越次数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
学习与记忆类,恐惧条件反射,测试恐惧记忆的形成与提取,僵直时间百分比、消退速率、latency,"两组比较：T-Test
三组或三组以上比较：ANOVA"
学习与记忆类,新物体识别,测试非空间记忆、识别记忆,识别指数、总探索时间,"两组比较：T-Test
三组或三组以上比较：ANOVA"
学习与记忆类,Y迷宫,自发交替 (工作记忆),"连续三次进入不同臂的序列（如ABC, BCA等）","两组比较：T-Test
三组或三组以上比较：ANOVA"
学习与记忆类,T迷宫,工作记忆与参考记忆,选择正确/错误的臂、 做出选择的潜伏期、完成任务的路径,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,高架十字迷宫/O迷宫,评估焦虑状态,开臂停留时间/进入次数百分比、总进臂次数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,旷场实验,评估自主活动与焦虑,中心区域停留时间/距离、总运动距离、直立次数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,明暗箱实验,评估焦虑状态,在明箱的停留时间、穿梭次数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,悬尾实验,评估抑郁样行为,累计不动时间、不动潜伏期,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,强迫游泳实验,评估抑郁样行为,累计不动时间、不动潜伏期,"两组比较：T-Test
三组或三组以上比较：ANOVA"
焦虑与抑郁样行为类,新型水箱实验,评估焦虑状态,在顶部、中部、底部的停留时间、进入顶部区域的次数、总游泳距离、 冻结时间、快速移动/潜水次数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
社交行为类,三箱社交测试,评估社交倾向与社交记忆,与陌生/熟悉鼠/物体相处的时间、嗅探时间,"两组比较：T-Test
三组或三组以上比较：ANOVA"
社交行为类,社会互动测试,评估自由互动行为,接触次数/时间、特定行为频率、社交距离,"两组比较：T-Test
三组或三组以上比较：ANOVA"
社交行为类,斑马鱼鱼群（成群游动）行为,评估社交凝聚力、焦虑反应及群体决策,鱼群一致性、个体间距离、群体偏振度、游泳速度、对捕食者刺激的群体反应,"两组比较：T-Test
三组或三组以上比较：ANOVA"
成瘾与奖赏类,条件性位置偏好,测试奖赏效应,在奖赏配对侧停留的时间差、偏好分数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
感觉运动与神经功能类,足迹分析,定量分析步态,步长、步基宽度、爪印面积,"两组比较：T-Test
三组或三组以上比较：ANOVA"
认知与高级思维类,认知墙试验,高通量评估多重认知领域（如学习、记忆、注意力）,达成学习指标所需进洞次数、达成学习指标个体数、学习阶段获得的食物颗粒总数,"两组比较：T-Test
三组或三组以上比较：ANOVA"
高通量与精细行为分析类,动物精细行为识别,无偏、全面地发现和量化复杂、微妙的自然及刻板行为,通过机器学习（如深度学习）识别的特定行为片段（如抓挠、理毛、追逐）的频率、时长、时序、T-patterns,"两组比较：T-Test
三组或三组以上比较：ANOVA"
高通量与精细行为分析类,PhenoTyper硬件系统,提供标准化环境进行长期、无干扰的行为监测和高通量表型筛选,Home-cage活动节律、饮水/摄食行为、社交互动、位置偏好、睡眠-觉醒周期等几乎所有自发行为的长期变化,"两组比较：T-Test
三组或三组以上比较：ANOVA"
